Sample,Color,wl,spectra
1,Summersi_dors,300,4.045
1,Summersi_dors,301,4.055
1,Summersi_dors,302,4.0975
1,Summersi_dors,303,4.1175
1,Summersi_dors,304,4.1225
1,Summersi_dors,305,4.13
1,Summersi_dors,306,4.1425
1,Summersi_dors,307,4.1375
1,Summersi_dors,308,4.14
1,Summersi_dors,309,4.1475
1,Summersi_dors,310,4.1825
1,Summersi_dors,311,4.215
1,Summersi_dors,312,4.2475
1,Summersi_dors,313,4.27
1,Summersi_dors,314,4.2675
1,Summersi_dors,315,4.32
1,Summersi_dors,316,4.3575
1,Summersi_dors,317,4.3925
1,Summersi_dors,318,4.4375
1,Summersi_dors,319,4.465
1,Summersi_dors,320,4.5175
1,Summersi_dors,321,4.58
1,Summersi_dors,322,4.595
1,Summersi_dors,323,4.615
1,Summersi_dors,324,4.65
1,Summersi_dors,325,4.705
1,Summersi_dors,326,4.775
1,Summersi_dors,327,4.8575
1,Summersi_dors,328,4.9175
1,Summersi_dors,329,4.94
1,Summersi_dors,330,4.98
1,Summersi_dors,331,4.975
1,Summersi_dors,332,5
1,Summersi_dors,333,5.035
1,Summersi_dors,334,5.0375
1,Summersi_dors,335,5.0475
1,Summersi_dors,336,5.0225
1,Summersi_dors,337,5.0225
1,Summersi_dors,338,5.0225
1,Summersi_dors,339,5.0175
1,Summersi_dors,340,4.9875
1,Summersi_dors,341,4.935
1,Summersi_dors,342,4.9025
1,Summersi_dors,343,4.875
1,Summersi_dors,344,4.86
1,Summersi_dors,345,4.8575
1,Summersi_dors,346,4.8525
1,Summersi_dors,347,4.81
1,Summersi_dors,348,4.765
1,Summersi_dors,349,4.7175
1,Summersi_dors,350,4.67
1,Summersi_dors,351,4.635
1,Summersi_dors,352,4.59
1,Summersi_dors,353,4.54
1,Summersi_dors,354,4.5325
1,Summersi_dors,355,4.5375
1,Summersi_dors,356,4.52
1,Summersi_dors,357,4.535
1,Summersi_dors,358,4.5075
1,Summersi_dors,359,4.4675
1,Summersi_dors,360,4.4525
1,Summersi_dors,361,4.415
1,Summersi_dors,362,4.34
1,Summersi_dors,363,4.35
1,Summersi_dors,364,4.345
1,Summersi_dors,365,4.3425
1,Summersi_dors,366,4.35
1,Summersi_dors,367,4.3225
1,Summersi_dors,368,4.295
1,Summersi_dors,369,4.3025
1,Summersi_dors,370,4.31
1,Summersi_dors,371,4.3025
1,Summersi_dors,372,4.305
1,Summersi_dors,373,4.265
1,Summersi_dors,374,4.2525
1,Summersi_dors,375,4.2525
1,Summersi_dors,376,4.225
1,Summersi_dors,377,4.195
1,Summersi_dors,378,4.165
1,Summersi_dors,379,4.145
1,Summersi_dors,380,4.145
1,Summersi_dors,381,4.1625
1,Summersi_dors,382,4.1675
1,Summersi_dors,383,4.16
1,Summersi_dors,384,4.1175
1,Summersi_dors,385,4.11
1,Summersi_dors,386,4.1125
1,Summersi_dors,387,4.0975
1,Summersi_dors,388,4.1225
1,Summersi_dors,389,4.0975
1,Summersi_dors,390,4.095
1,Summersi_dors,391,4.1425
1,Summersi_dors,392,4.15
1,Summersi_dors,393,4.1525
1,Summersi_dors,394,4.14
1,Summersi_dors,395,4.1
1,Summersi_dors,396,4.1
1,Summersi_dors,397,4.1225
1,Summersi_dors,398,4.095
1,Summersi_dors,399,4.075
1,Summersi_dors,400,4.0575
1,Summersi_dors,401,4.015
1,Summersi_dors,402,4.0275
1,Summersi_dors,403,4.0575
1,Summersi_dors,404,4.065
1,Summersi_dors,405,4.09
1,Summersi_dors,406,4.12
1,Summersi_dors,407,4.095
1,Summersi_dors,408,4.0925
1,Summersi_dors,409,4.08
1,Summersi_dors,410,4.0325
1,Summersi_dors,411,4.0375
1,Summersi_dors,412,3.9925
1,Summersi_dors,413,4.0225
1,Summersi_dors,414,4.065
1,Summersi_dors,415,4.09
1,Summersi_dors,416,4.13
1,Summersi_dors,417,4.08
1,Summersi_dors,418,4.0425
1,Summersi_dors,419,4.0475
1,Summersi_dors,420,4.0725
1,Summersi_dors,421,4.12
1,Summersi_dors,422,4.155
1,Summersi_dors,423,4.12
1,Summersi_dors,424,4.0875
1,Summersi_dors,425,4.09
1,Summersi_dors,426,4.0525
1,Summersi_dors,427,4.0625
1,Summersi_dors,428,4.08
1,Summersi_dors,429,4.0625
1,Summersi_dors,430,4.085
1,Summersi_dors,431,4.0875
1,Summersi_dors,432,4.1425
1,Summersi_dors,433,4.1875
1,Summersi_dors,434,4.2225
1,Summersi_dors,435,4.235
1,Summersi_dors,436,4.21
1,Summersi_dors,437,4.2075
1,Summersi_dors,438,4.18
1,Summersi_dors,439,4.1575
1,Summersi_dors,440,4.14
1,Summersi_dors,441,4.1325
1,Summersi_dors,442,4.12
1,Summersi_dors,443,4.1625
1,Summersi_dors,444,4.17
1,Summersi_dors,445,4.145
1,Summersi_dors,446,4.1425
1,Summersi_dors,447,4.1275
1,Summersi_dors,448,4.1075
1,Summersi_dors,449,4.0925
1,Summersi_dors,450,4.0825
1,Summersi_dors,451,4.0675
1,Summersi_dors,452,4.095
1,Summersi_dors,453,4.1125
1,Summersi_dors,454,4.145
1,Summersi_dors,455,4.1925
1,Summersi_dors,456,4.21
1,Summersi_dors,457,4.2525
1,Summersi_dors,458,4.27
1,Summersi_dors,459,4.29
1,Summersi_dors,460,4.305
1,Summersi_dors,461,4.285
1,Summersi_dors,462,4.2825
1,Summersi_dors,463,4.2575
1,Summersi_dors,464,4.2425
1,Summersi_dors,465,4.2575
1,Summersi_dors,466,4.2825
1,Summersi_dors,467,4.2975
1,Summersi_dors,468,4.32
1,Summersi_dors,469,4.4075
1,Summersi_dors,470,4.4525
1,Summersi_dors,471,4.4825
1,Summersi_dors,472,4.535
1,Summersi_dors,473,4.4525
1,Summersi_dors,474,4.3775
1,Summersi_dors,475,4.365
1,Summersi_dors,476,4.275
1,Summersi_dors,477,4.2425
1,Summersi_dors,478,4.2475
1,Summersi_dors,479,4.1875
1,Summersi_dors,480,4.1575
1,Summersi_dors,481,4.12
1,Summersi_dors,482,4.06
1,Summersi_dors,483,4.0575
1,Summersi_dors,484,4.05
1,Summersi_dors,485,4.0475
1,Summersi_dors,486,4.1025
1,Summersi_dors,487,4.115
1,Summersi_dors,488,4.1475
1,Summersi_dors,489,4.2125
1,Summersi_dors,490,4.2375
1,Summersi_dors,491,4.285
1,Summersi_dors,492,4.3225
1,Summersi_dors,493,4.34
1,Summersi_dors,494,4.3225
1,Summersi_dors,495,4.345
1,Summersi_dors,496,4.4075
1,Summersi_dors,497,4.4625
1,Summersi_dors,498,4.5275
1,Summersi_dors,499,4.59
1,Summersi_dors,500,4.66
1,Summersi_dors,501,4.7125
1,Summersi_dors,502,4.81
1,Summersi_dors,503,4.885
1,Summersi_dors,504,4.9725
1,Summersi_dors,505,5.0975
1,Summersi_dors,506,5.205
1,Summersi_dors,507,5.3275
1,Summersi_dors,508,5.4225
1,Summersi_dors,509,5.5375
1,Summersi_dors,510,5.67
1,Summersi_dors,511,5.8425
1,Summersi_dors,512,5.9725
1,Summersi_dors,513,6.085
1,Summersi_dors,514,6.2175
1,Summersi_dors,515,6.3375
1,Summersi_dors,516,6.5325
1,Summersi_dors,517,6.755
1,Summersi_dors,518,6.93
1,Summersi_dors,519,7.145
1,Summersi_dors,520,7.34
1,Summersi_dors,521,7.5325
1,Summersi_dors,522,7.74
1,Summersi_dors,523,7.905
1,Summersi_dors,524,8.1275
1,Summersi_dors,525,8.355
1,Summersi_dors,526,8.61
1,Summersi_dors,527,8.8675
1,Summersi_dors,528,9.1075
1,Summersi_dors,529,9.3475
1,Summersi_dors,530,9.59
1,Summersi_dors,531,9.8675
1,Summersi_dors,532,10.1275
1,Summersi_dors,533,10.4125
1,Summersi_dors,534,10.7025
1,Summersi_dors,535,10.9625
1,Summersi_dors,536,11.275
1,Summersi_dors,537,11.605
1,Summersi_dors,538,11.9375
1,Summersi_dors,539,12.2975
1,Summersi_dors,540,12.6375
1,Summersi_dors,541,13
1,Summersi_dors,542,13.3625
1,Summersi_dors,543,13.7325
1,Summersi_dors,544,14.1225
1,Summersi_dors,545,14.4975
1,Summersi_dors,546,14.8725
1,Summersi_dors,547,15.2925
1,Summersi_dors,548,15.69
1,Summersi_dors,549,16.0875
1,Summersi_dors,550,16.5125
1,Summersi_dors,551,16.8925
1,Summersi_dors,552,17.3025
1,Summersi_dors,553,17.7375
1,Summersi_dors,554,18.175
1,Summersi_dors,555,18.6275
1,Summersi_dors,556,19.0825
1,Summersi_dors,557,19.54
1,Summersi_dors,558,19.9675
1,Summersi_dors,559,20.3975
1,Summersi_dors,560,20.825
1,Summersi_dors,561,21.2525
1,Summersi_dors,562,21.6975
1,Summersi_dors,563,22.19
1,Summersi_dors,564,22.6575
1,Summersi_dors,565,23.105
1,Summersi_dors,566,23.535
1,Summersi_dors,567,23.9
1,Summersi_dors,568,24.3025
1,Summersi_dors,569,24.7
1,Summersi_dors,570,25.095
1,Summersi_dors,571,25.515
1,Summersi_dors,572,25.88
1,Summersi_dors,573,26.2475
1,Summersi_dors,574,26.6225
1,Summersi_dors,575,26.9475
1,Summersi_dors,576,27.2825
1,Summersi_dors,577,27.6225
1,Summersi_dors,578,27.9325
1,Summersi_dors,579,28.2275
1,Summersi_dors,580,28.5525
1,Summersi_dors,581,28.84
1,Summersi_dors,582,29.13
1,Summersi_dors,583,29.4375
1,Summersi_dors,584,29.6825
1,Summersi_dors,585,29.955
1,Summersi_dors,586,30.1675
1,Summersi_dors,587,30.41
1,Summersi_dors,588,30.635
1,Summersi_dors,589,30.8475
1,Summersi_dors,590,31.065
1,Summersi_dors,591,31.2525
1,Summersi_dors,592,31.47
1,Summersi_dors,593,31.685
1,Summersi_dors,594,31.915
1,Summersi_dors,595,32.1375
1,Summersi_dors,596,32.375
1,Summersi_dors,597,32.565
1,Summersi_dors,598,32.7525
1,Summersi_dors,599,32.9175
1,Summersi_dors,600,33.0475
1,Summersi_dors,601,33.19
1,Summersi_dors,602,33.3375
1,Summersi_dors,603,33.5125
1,Summersi_dors,604,33.6675
1,Summersi_dors,605,33.8125
1,Summersi_dors,606,33.9575
1,Summersi_dors,607,34.105
1,Summersi_dors,608,34.245
1,Summersi_dors,609,34.4
1,Summersi_dors,610,34.5225
1,Summersi_dors,611,34.65
1,Summersi_dors,612,34.76
1,Summersi_dors,613,34.87
1,Summersi_dors,614,34.9925
1,Summersi_dors,615,35.06
1,Summersi_dors,616,35.1575
1,Summersi_dors,617,35.2325
1,Summersi_dors,618,35.3125
1,Summersi_dors,619,35.4025
1,Summersi_dors,620,35.445
1,Summersi_dors,621,35.4925
1,Summersi_dors,622,35.5375
1,Summersi_dors,623,35.5725
1,Summersi_dors,624,35.685
1,Summersi_dors,625,35.75
1,Summersi_dors,626,35.7775
1,Summersi_dors,627,35.83
1,Summersi_dors,628,35.8125
1,Summersi_dors,629,35.84
1,Summersi_dors,630,35.8925
1,Summersi_dors,631,35.94
1,Summersi_dors,632,35.965
1,Summersi_dors,633,35.9775
1,Summersi_dors,634,35.995
1,Summersi_dors,635,35.9975
1,Summersi_dors,636,36.0225
1,Summersi_dors,637,36.055
1,Summersi_dors,638,36.07
1,Summersi_dors,639,36.0425
1,Summersi_dors,640,36.03
1,Summersi_dors,641,36.0275
1,Summersi_dors,642,36.01
1,Summersi_dors,643,36.055
1,Summersi_dors,644,36.0775
1,Summersi_dors,645,36.075
1,Summersi_dors,646,36.0625
1,Summersi_dors,647,36.07
1,Summersi_dors,648,36.05
1,Summersi_dors,649,36.04
1,Summersi_dors,650,36.045
1,Summersi_dors,651,36.0575
1,Summersi_dors,652,36.1025
1,Summersi_dors,653,36.11
1,Summersi_dors,654,36.12
1,Summersi_dors,655,36.115
1,Summersi_dors,656,36.0825
1,Summersi_dors,657,36.105
1,Summersi_dors,658,36.1
