wavelength,A,D
300,0.153976289,0.766974194
301,0.147847815,0.765146237
302,0.143218008,0.759608602
303,0.139631914,0.754339785
304,0.136714868,0.749823656
305,0.135331278,0.745092473
306,0.134741178,0.741490323
307,0.134315664,0.735898925
308,0.134347779,0.729232258
309,0.134040017,0.720146237
310,0.134160445,0.707296774
311,0.135241626,0.693156989
312,0.136420487,0.674877419
313,0.137531106,0.654877419
314,0.138119867,0.634232258
315,0.137919153,0.613802151
316,0.138106486,0.594823656
317,0.138494534,0.577189247
318,0.139123438,0.561167742
319,0.140046724,0.547780645
320,0.140729152,0.537189247
321,0.141518628,0.529070968
322,0.142375008,0.523372043
323,0.143565912,0.518694624
324,0.144957531,0.514823656
325,0.146295626,0.512463441
326,0.147928101,0.511167742
327,0.149011958,0.51097957
328,0.149507053,0.510791398
329,0.1496141,0.509947312
330,0.1490521,0.509716129
331,0.148449958,0.508904301
332,0.147392863,0.509087097
333,0.145840673,0.509721505
334,0.143994103,0.50981828
335,0.141612294,0.510302151
336,0.13928401,0.510791398
337,0.136714868,0.511501075
338,0.134112274,0.512280645
339,0.131532427,0.513388172
340,0.129043571,0.513253763
341,0.127223763,0.512829032
342,0.125654178,0.511651613
343,0.124397707,0.509608602
344,0.123787536,0.508796774
345,0.123742041,0.508065591
346,0.124195655,0.507635484
347,0.12501323,0.507441935
348,0.12557523,0.506269892
349,0.125979335,0.505044086
350,0.126687187,0.503850538
351,0.127870062,0.502484946
352,0.129154633,0.501834409
353,0.130337509,0.500952688
354,0.131838851,0.499990323
355,0.133219765,0.499802151
356,0.135292473,0.499613978
357,0.137838867,0.499054839
358,0.140474914,0.498656989
359,0.143472246,0.497737634
360,0.146509721,0.496737634
361,0.149788053,0.496554839
362,0.153280479,0.496183871
363,0.157214478,0.496382796
364,0.161282285,0.496737634
365,0.165912093,0.497560215
366,0.170595424,0.498893548
367,0.175185089,0.500103226
368,0.180069134,0.50064086
369,0.184899656,0.500925806
370,0.189863987,0.501044086
371,0.19472127,0.50131828
372,0.199551792,0.502339785
373,0.204542885,0.503275269
374,0.209467073,0.504189247
375,0.214525071,0.505221505
376,0.219489402,0.506253763
377,0.224748114,0.506807527
378,0.230849825,0.507049462
379,0.237312822,0.506678495
380,0.244752628,0.505984946
381,0.252567101,0.505780645
382,0.260662574,0.505780645
383,0.269681331,0.505968817
384,0.279181803,0.505855914
385,0.289244275,0.505554839
386,0.299841984,0.505329032
387,0.310934789,0.504877419
388,0.321947308,0.504291398
389,0.332759112,0.503345161
390,0.34304906,0.501941935
391,0.353044627,0.500737634
392,0.362692289,0.499549462
393,0.371764571,0.49803871
394,0.380181186,0.495958065
395,0.387701278,0.493280645
396,0.395047417,0.490748387
397,0.402232986,0.488017204
398,0.40964603,0.485587097
399,0.417942217,0.483280645
400,0.426934212,0.480506452
401,0.436782589,0.478269892
402,0.448383869,0.476092473
403,0.461350006,0.474216129
404,0.475801428,0.472716129
405,0.492112802,0.471119355
406,0.509427746,0.469963441
407,0.527839929,0.469103226
408,0.547162015,0.468463441
409,0.566925673,0.468334409
410,0.586742854,0.468554839
411,0.60605156,0.469070968
412,0.624410218,0.470253763
413,0.641283591,0.471872043
414,0.656337156,0.4737
415,0.669504007,0.47575914
416,0.680503145,0.478065591
417,0.689066951,0.480613978
418,0.695369376,0.483630108
419,0.699209708,0.487156989
420,0.701297136,0.491216129
421,0.702394373,0.495447312
422,0.70291623,0.499925806
423,0.70375923,0.50486129
424,0.704843086,0.509941935
425,0.707572799,0.515732258
426,0.712711083,0.52192043
427,0.720284698,0.528372043
428,0.731150027,0.535307527
429,0.745266925,0.542458065
430,0.761725489,0.549716129
431,0.781168004,0.557458065
432,0.803179661,0.565522581
433,0.827372412,0.573802151
434,0.853277924,0.582780645
435,0.879785578,0.592243011
