unique_spec,Pigment,R,G,B
1,A,167,255,148
1,D,255,184,181
1,Both,255,186,110
1,None,118,210,255
2,A,202,255,112
2,D,255,170,126
2,Both,255,171,73
2,None,187,255,236
3,A,255,248,77
3,D,255,149,81
3,Both,255,149,48
3,None,255,255,173
4,A,205,255,136
4,D,255,170,151
4,Both,255,173,95
4,None,173,231,255
5,A,227,255,118
5,D,255,160,125
5,Both,255,162,78
5,None,218,255,245
6,A,255,255,108
6,D,255,152,107
6,Both,255,152,68
6,None,248,255,223
7,A,225,255,136
7,D,255,164,144
7,Both,255,165,94
7,None,198,234,255
8,A,234,255,125
8,D,255,159,130
8,Both,255,160,83
8,None,226,253,255
9,A,248,255,120
9,D,255,154,119
9,Both,255,156,77
9,None,241,255,241
10,A,222,255,102
10,D,255,164,110
10,Both,255,164,66
10,None,209,255,213
11,A,255,242,74
11,D,255,148,79
11,Both,255,147,48
11,None,255,247,161
12,A,255,199,60
12,D,255,131,67
12,Both,255,131,49
12,None,255,198,106
13,A,245,255,106
13,D,255,155,108
13,Both,255,156,68
13,None,235,255,219
14,A,255,243,92
14,D,255,147,93
14,Both,255,148,61
14,None,255,248,191
15,A,255,222,86
15,D,255,140,89
15,Both,255,141,62
15,None,255,222,165
16,A,248,255,115
16,D,255,155,115
16,Both,255,156,75
16,None,240,255,231
17,A,255,251,109
17,D,255,151,106
17,Both,255,151,71
17,None,253,255,219
18,A,255,241,102
18,D,255,147,102
18,Both,255,149,72
18,None,255,244,202
19,A,255,214,72
19,D,255,138,77
19,Both,255,139,56
19,None,255,214,130
20,A,255,187,72
20,D,255,128,78
20,Both,255,128,61
20,None,255,182,116
21,A,255,177,94
21,D,255,125,98
21,Both,255,128,78
21,None,255,163,142
22,A,255,218,85
22,D,255,140,88
22,Both,255,142,65
22,None,255,219,154
23,A,255,205,87
23,D,255,136,91
23,Both,255,137,70
23,None,255,202,148
24,A,255,200,98
24,D,255,135,101
24,Both,255,137,80
24,None,255,193,157
25,A,255,223,95
25,D,255,144,97
25,Both,255,144,72
25,None,255,225,171
26,A,255,217,95
26,D,255,141,97
26,Both,255,141,74
26,None,255,214,164
27,A,255,212,97
27,D,255,140,99
27,Both,255,142,78
27,None,255,207,160
28,A,216,255,136
28,D,255,167,147
28,Both,255,169,95
28,None,189,233,255
29,A,230,255,120
29,D,255,160,127
29,Both,255,161,79
29,None,220,255,249
30,A,255,251,100
30,D,255,150,100
30,Both,255,151,64
30,None,254,255,208
31,A,230,255,135
31,D,255,163,141
31,Both,255,165,93
31,None,205,238,255
32,A,246,255,122
32,D,255,156,122
32,Both,255,158,80
32,None,238,255,247
33,A,255,252,116
33,D,255,151,113
33,Both,255,153,76
33,None,252,255,232
34,A,240,255,132
34,D,255,159,134
34,Both,255,162,93
34,None,227,247,255
35,A,247,255,129
35,D,255,157,128
35,Both,255,157,86
35,None,242,255,255
36,A,255,255,123
36,D,255,155,120
36,Both,255,155,82
36,None,250,255,244
37,A,237,255,123
37,D,255,159,126
37,Both,255,160,81
37,None,229,255,249
38,A,255,254,111
38,D,255,152,109
38,Both,255,152,71
38,None,251,255,225
39,A,255,225,90
39,D,255,143,93
39,Both,255,143,64
39,None,255,226,174
40,A,249,255,123
40,D,255,154,122
40,Both,255,157,81
40,None,242,255,244
41,A,255,252,117
41,D,255,152,114
41,Both,255,152,77
41,None,253,255,234
42,A,255,236,108
42,D,255,146,108
42,Both,255,147,75
42,None,255,236,209
43,A,252,255,128
43,D,255,155,125
43,Both,255,157,86
43,None,245,255,250
44,A,255,252,121
44,D,255,152,117
44,Both,255,153,82
44,None,253,255,238
45,A,255,246,119
45,D,255,150,116
45,Both,255,152,82
45,None,255,248,230
46,A,255,249,117
46,D,255,151,115
46,Both,255,152,78
46,None,255,252,233
47,A,255,236,103
47,D,255,145,103
47,Both,255,147,71
47,None,255,237,201
48,A,255,220,101
48,D,255,141,103
48,Both,255,143,75
48,None,255,219,184
49,A,255,244,117
49,D,255,150,115
49,Both,255,151,81
49,None,255,248,227
50,A,255,237,113
50,D,255,148,113
50,Both,255,148,79
50,None,255,239,218
