unique_spec,R,G,B
1,118,210,255
2,187,255,236
3,255,255,173
4,173,231,255
5,218,255,245
6,248,255,223
7,198,234,255
8,226,253,255
9,241,255,241
10,209,255,213
11,255,247,161
12,255,198,106
13,235,255,219
14,255,248,191
15,255,222,165
16,240,255,231
17,253,255,219
18,255,244,202
19,255,214,130
20,255,182,116
21,255,163,142
22,255,219,154
23,255,202,148
24,255,193,157
25,255,225,171
26,255,214,164
27,255,207,160
28,189,233,255
29,220,255,249
30,254,255,208
31,205,238,255
32,238,255,247
33,252,255,232
34,227,247,255
35,242,255,255
36,250,255,244
37,229,255,249
38,251,255,225
39,255,226,174
40,242,255,244
41,253,255,234
42,255,236,209
43,245,255,250
44,253,255,238
45,255,248,230
46,255,252,233
47,255,237,201
48,255,219,184
49,255,248,227
50,255,239,218
51,255,229,207
52,255,252,236
53,255,241,226
54,255,238,219
55,200,233,255
56,227,253,255
57,249,255,232
58,213,238,255
59,240,255,255
60,252,255,242
61,232,246,255
62,239,253,255
63,251,255,251
64,223,240,255
65,245,255,247
66,255,250,218
67,235,247,255
68,250,255,243
69,255,248,230
70,243,255,251
71,250,255,251
72,255,252,245
73,243,253,255
74,255,255,242
75,255,238,207
76,248,253,255
77,255,255,246
78,255,242,226
79,246,255,250
80,248,255,250
81,255,245,234
